Timestamp,participant,sessionId,isDda,isP2Human,timeInSession,turn,player,move,thinkTime,isTerminal,v,simulations,pi,scoreP1,scoreP2,boardState
6/18/2026 9:55:54,Rizka,Rizka_S1_34B5,FALSE,FALSE,505.22,19,1,0,34.69,FALSE,-0.998,0,0.4878135;0.3111042;0.1500166;0.0002293876;0.0499071;0.0007127915;0.0002165216,15,64,7;1;2;0;4;0;0;15;0;0;0;2;2;1;0;64
6/18/2026 9:55:54,Rizka,Rizka_S1_34B5,FALSE,FALSE,510.06,20,1,1,4.84,FALSE,-0.986,0,0.0004182711;0.1613147;0.1263084;0.2146461;0.108108;0.1496217;0.239583,16,64,0;2;3;1;5;1;1;16;0;0;0;2;2;1;0;64
6/18/2026 9:55:55,Rizka,Rizka_S1_34B5,FALSE,FALSE,518.32,21,1,4,8.26,FALSE,-0.997,0,0.003155315;0.0008204547;0.3841718;0.001106905;0.1961435;0.000908585;0.4136935,17,64,0;0;4;0;6;0;2;17;0;0;0;2;2;1;0;64
6/18/2026 9:55:55,Rizka,Rizka_S1_34B5,FALSE,FALSE,537.92,22,-1,2,19.6,FALSE,0.998,400,0.09194623;0.2265854;0.4495954;0.06349847;0.09079285;0.07691619;0.0006655959,18,64,0;0;4;0;0;1;3;18;1;1;1;2;2;1;0;64
6/18/2026 9:55:55,Rizka,Rizka_S1_34B5,FALSE,FALSE,543.98,23,1,2,6.06,FALSE,-0.997,0,0.0003428235;0.0006607708;0.5182544;0.0004721715;0.0002201743;0.1482268;0.3318228,18,64,0;0;4;0;0;1;3;18;1;1;0;0;3;2;1;64
6/18/2026 9:55:56,Rizka,Rizka_S1_34B5,FALSE,FALSE,565.09,24,-1,0,21.11,FALSE,0.999,400,0.2652178;0.1348501;0.1296081;0.001118616;0.1161767;0.2272327;0.125796,19,64,0;0;0;1;1;2;0;19;2;2;1;0;3;2;1;64
6/18/2026 9:55:56,Rizka,Rizka_S1_34B5,FALSE,FALSE,573.27,25,1,3,8.18,FALSE,-0.995,0,0.146675;0.0001020104;0.0003026173;0.1148896;0.1560474;0.581872;0.0001117084,19,65,1;0;0;1;1;2;0;19;0;3;0;1;0;3;2;65
6/18/2026 9:55:57,Rizka,Rizka_S1_34B5,FALSE,FALSE,592.58,26,-1,5,19.3,FALSE,0.996,400,0.0003898392;0.04438376;0.001673008;0.3268209;0.0009314755;0.5130949;0.1127064,19,65,1;0;0;0;0;3;1;19;0;3;0;1;0;3;2;65
6/18/2026 9:55:57,Rizka,Rizka_S1_34B5,FALSE,FALSE,600.32,27,1,1,7.75,FALSE,-0.998,0,0.001112198;0.3116701;0.1248019;0.001774034;0.0001330019;0.2075072;0.3530015,19,66,0;1;1;0;0;3;1;19;0;3;0;1;0;0;3;66
6/18/2026 9:55:58,Rizka,Rizka_S1_34B5,FALSE,FALSE,626.37,28,-1,6,26.05,FALSE,0.998,400,0.0005324698;0.2799703;0.002663464;0.1655655;0.0003038391;7.630166E-05;0.5508879,19,66,0;0;0;1;1;3;1;19;0;3;0;1;0;0;3;66
6/18/2026 9:55:58,Rizka,Rizka_S1_34B5,FALSE,FALSE,629.93,29,1,0,3.56,FALSE,-0.995,0,0.07579264;0.2889443;0.00051072;0.09461967;0.1938261;0.257077;0.08922976,19,67,1;1;0;1;1;3;1;19;0;3;0;1;0;0;0;67
6/18/2026 9:55:59,Rizka,Rizka_S1_34B5,FALSE,FALSE,655.33,30,-1,2,25.4,FALSE,0.999,400,0.1339399;0.002153822;0.498706;0.1123097;0.1693141;0.08301146;0.0005649094,20,67,0;0;1;0;2;0;2;20;1;0;1;2;1;1;0;67
6/18/2026 9:55:59,Rizka,Rizka_S1_34B5,FALSE,FALSE,660.17,31,1,2,4.84,FALSE,-0.998,0,0.001213405;0.0002901941;0.3192194;0.002563393;0.04114274;0.0002672586;0.6353036,20,67,0;0;1;0;2;0;2;20;1;0;0;0;2;2;1;67
6/18/2026 9:55:59,Rizka,Rizka_S1_34B5,FALSE,FALSE,678.79,32,-1,6,18.62,FALSE,1,400,0.2330348;0.0005102892;0.0005131885;0.001236125;0.2390534;0.1754023;0.3502499,20,67,0;0;0;1;2;0;2;20;1;0;0;0;2;2;1;67
6/18/2026 9:56:00,Rizka,Rizka_S1_34B5,FALSE,FALSE,699.47,33,-1,5,20.68,FALSE,0.999,400,0.1588295;0.0006057667;0.0004691643;0.001127235;0.4002576;0.43858;0.0001307774,20,68,0;0;0;1;2;0;2;20;1;0;0;0;2;2;0;68
6/18/2026 9:56:00,Rizka,Rizka_S1_34B5,FALSE,FALSE,719.15,34,-1,6,19.68,FALSE,0.999,400,0.4024899;0.001171994;0.0003427129;0.0003515565;0.1618543;8.133908E-06;0.4337814,20,69,0;0;0;1;2;0;2;20;1;0;0;0;2;0;1;69
